faculty,disease
骨科,布氏杆菌性关节炎
骨科,骨折
骨科,脊柱炎
骨科,软骨发育不全
骨科,变形性骨炎
骨科,网球肘
骨科,腱鞘炎
骨科,鼠标手
骨科,成人骨坏死
骨科,骨髓炎
骨科,筋膜炎
骨科,膝关节脱位
骨科,耻骨炎
骨科,骨膜炎
骨科,腱鞘囊肿
骨科,腰椎间盘突出
骨科,脆弱性骨硬化
骨科,骨关节炎
骨科,筋痹
骨科,腰肌劳损
外伤科,败血症
外伤科,鼻疖
外伤科,创伤性鼻出血
外伤科,断指再植
外伤科,电击伤
外伤科,喉部创伤
外伤科,创伤性休克
外伤科,创伤性气胸
外伤科,不动杆菌感染
外伤科,创伤窒息综合征
烧伤科,电烧伤
烧伤科,冻僵
烧伤科,化学烧伤
烧伤科,浸渍足
烧伤科,钠过多
烧伤科,热烧伤
烧伤科,烧伤感染
烧伤科,小儿烧伤
烧伤科,咽部灼伤
烧伤科,烧伤休克
乳腺外科,柏哲病
乳腺外科,乳腺增生
乳腺外科,乳腺癌
乳腺外科,乳腺结核
乳腺外科,乳头内陷
乳腺外科,男性乳房肥大症
乳腺外科,多乳房
乳腺外科,乳房棘球蚴病
乳腺外科,乳房缺少症
乳腺外科,乳房神经纤维瘤
手外科,腱鞘囊肿
手外科,疖
手外科,多指畸形
手外科,脓肿
手外科,甲沟炎和甲下脓肿
手外科,柯莱斯骨折
手外科,尺神经损伤
胃肠外科,半月线疝
胃肠外科,闭孔疝
胃肠外科,胞痹
胃肠外科,肠瘘
胃肠外科,肠结
胃肠外科,肠扭转
胃肠外科,残胃淋巴瘤
血管外科,鼻血管瘤
血管外科,肺血管炎
血管外科,管炎肠系膜动脉瘤
血管外科,肺动静脉瘤
血管外科,腹主动脉瘤
血管外科,腹壁血栓性静脉炎
血管外科,肠系膜动脉瘤
