SJBXX01,SJBXX02,PYM,SZM,WBM
A06.100,慢性肠阿米巴病,MXCAMBB,5235454,NNEBOCU
A06.200,阿米巴非痢疾性结肠炎,AMBFLJXJCY,5451442534,BOCDUUNXEO
A06.300,肠道阿米巴瘤,CDAMBL,345454,EUBOCU
A06.400,阿米巴肝脓肿,AMBGNZ,545333,BOCEEE
A06.500+J99.8*,阿米巴肺脓肿,AMBFNZ,545333,BOCEEE
A06.501+J99.8*,阿米巴肝肺脓肿,AMBGFNZ,5453333,BOCEEEE
A06.600+G07*,阿米巴脑脓肿,AMBNNZ,545333,BOCEEE
A06.700,皮肤阿米巴病,PFAMBB,535454,HEBOCU
A06.800,阿米巴感染，其他部位的,AMBGRQTBWD,5451413433,BOCDIAWUWR
A06.801,眼阿米巴病,YAMBB,25454,HBOCU
A06.900,阿米巴病,AMBB,5454,BOCU
A07.000,小袋纤毛虫病,XDXMCB,235324,IWXTJU
A07.100,贾第虫病\[兰伯鞭毛虫病\],JDCB\[LBBMCB\],1324\[431324\],STJU\[UWATJU\]
A07.200,隐孢子虫病,YBZCB,55524,BBBJU
A07.300,等孢球虫病,DBQCB,35124,TBGJU
A07.800,原虫性肠道疾病，其他特指的,YCXCDJBQTTZD,122344413313,DJNEUUUAWTRR
A07.801,肠道滴虫病,CDDCB,34424,EUIJU
A07.900,原虫性肠道疾病,YCXCDJB,1223444,DJNEUUU
A08.000,轮状病毒性肠炎,LZBDXCY,2441234,LUUGNEO
A08.100,诺沃克组病毒引起的急性胃肠病,NWKZBDYQDJXWCB,44154151332234,YIDXUGXFRQNLEU
A08.101,诺如病毒性急性胃肠病,NRBDXJXWCB,4541232234,YVUGNQNLEU
A08.200,腺病毒性肠炎,XBDXCY,341234,EUGNEO
A08.300,病毒性肠炎，其他的,BDXCYQTD,41234133,UGNEOAWR
A08.301,EB病毒性肠炎,EBBDXCY,EB41234,EBUGNEO
A08.400,病毒性肠道感染,BDXCDGR,4123414,UGNEUDI
A08.401,病毒性肠炎,BDXCY,41234,UGNEO
A08.402,病毒性胃肠炎,BDXWCY,412234,UGNLEO
A08.500,肠道感染，其他特指的,CDGRQTTZD,341413313,EUDIAWTRR
A09.000,传染性病因的胃肠炎和结肠炎，其他和未特指的,CRXBYDWCYHJCYQTHWTZD,34242323435341331313,WINULRLEOTXEOAWTFTRR
A09.001,感染性胃肠炎,GRXWCY,142234,DINLEO
A09.002,感染性结肠炎,GRXJCY,142534,DINXEO
A09.003,痢疾,LJ,44,UU
A09.004,感染性腹泻,GRXFX,14234,DINEI
A09.005,脓毒性肠炎,NDXCY,31234,EGNEO
A09.006,急性出血性肠炎,JXCXXCY,3253234,QNBTNEO
A09.007,急性感染性肠炎,JXGRXCY,3214234,QNDINEO
A09.900,胃肠炎和结肠炎,WCYHJCY,2343534,LEOTXEO
A09.901,胃肠炎,WCY,234,LEO
A09.902,结肠炎,JCY,534,XEO
A09.903,婴儿腹泻,YEFX,2334,MQEI
A09.904,出血性肠炎,CXXCY,53234,BTNEO
A15.000,肺结核，经显微镜下痰检查证实，伴有或不伴有痰培养,FJHJXWJXTJCZSBYHBBYT,35152331411443314334,EXSXJTQGUSSYPWEAIWEU
A15.001,肺结核瘤，痰镜检(+),FJHLTJJ(+),3514431(+),EXSUUQS(+)
A15.002,肺干酪性结核，痰镜检(+),FGLXJHTJJ(+),311251431(+),EFSNXSUQS(+)
A15.003,结核性肺纤维变性，痰镜检(+),JHXFXWBXTJJ(+),51235542431(+),XSNEXXYNUQS(+)
A15.004,结核性肺炎，痰镜检(+),JHXFYTJJ(+),51234431(+),XSNEOUQS(+)
A15.005,结核性气胸，痰镜检(+),JHXQXTJJ(+),51233431(+),XSNREUQS(+)
A15.006,结核性支气管扩张，痰镜检(+),JHXZQGKZTJJ(+),51213315431(+),XSNFRTRXUQS(+)
A15.007,空洞型肺结核，痰镜检(+),KDXFJHTJJ(+),441351431(+),PIGEXSUQS(+)
A15.008,浸润型肺结核，痰镜检(+),JRXFJHTJJ(+),441351431(+),IIGEXSUQS(+)
A15.009,增殖型肺结核，痰镜检(+),ZZXFJHTJJ(+),111351431(+),FGGEXSUQS(+)
A15.100,肺结核，仅经痰培养所证实,FJHJJTPYSZS,35135414344,EXSWXUFURYP
A15.101,肺结核瘤，痰培养(+),FJHLTPY(+),3514414(+),EXSUUFU(+)
A15.102,肺干酪性结核，痰培养(+),FGLXJHTPY(+),311251414(+),EFSNXSUFU(+)
A15.103,结核性肺纤维变性，痰培养(+),JHXFXWBXTPY(+),51235542414(+),XSNEXXYNUFU(+)
A15.104,结核性肺炎，痰培养(+),JHXFYTPY(+),51234414(+),XSNEOUFU(+)
A15.105,结核性气胸，痰培养(+),JHXQXTPY(+),51233414(+),XSNREUFU(+)
A15.106,结核性支气管扩张，痰培养(+),JHXZQGKZTPY(+),51213315414(+),XSNFRTRXUFU(+)
A15.107,空洞型肺结核，痰培养(+),KDXFJHTPY(+),441351414(+),PIGEXSUFU(+)
A15.108,浸润型肺结核，痰培养(+),JRXFJHTPY(+),441351414(+),IIGEXSUFU(+)
A15.109,增殖型肺结核，痰培养(+),ZZXFJHTPY(+),111351414(+),FGGEXSUFU(+)
A15.200,肺结核，经组织学所证实,FJHJZZXSZS,3515554344,EXSXXXIRYP
A15.201,肺结核瘤，病理(+),FJHLBL(+),351441(+),EXSUUG(+)
A15.202,肺干酪性结核，病理(+),FGLXJHBL(+),31125141(+),EFSNXSUG(+)
A15.203,结核性肺纤维变性，病理(+),JHXFXWBXBL(+),5123554241(+),XSNEXXYNUG(+)
A15.204,结核性肺炎，病理(+),JHXFYBL(+),5123441(+),XSNEOUG(+)
A15.205,结核性气胸，病理(+),JHXQXBL(+),5123341(+),XSNREUG(+)
A15.206,结核性支气管扩张，病理(+),JHXZQGKZBL(+),5121331541(+),XSNFRTRXUG(+)
A15.207,空洞型肺结核，病理(+),KDXFJHBL(+),44135141(+),PIGEXSUG(+)
A15.208,浸润型肺结核，病理(+),JRXFJHBL(+),44135141(+),IIGEXSUG(+)
A15.209,增殖型肺结核，病理(+),ZZXFJHBL(+),11135141(+),FGGEXSUG(+)
A15.300,肺结核，经证实的,FJHJZSD,3515443,EXSXYPR
A15.301,肺结核瘤经证实(+),FJHLJZS(+),3514544(+),EXSUXYP(+)
A15.302,肺干酪性结核经证实(+),FGLXJHJZS(+),311251544(+),EFSNXSXYP(+)
A15.303,结核性肺纤维变性经证实(+),JHXFXWBXJZS(+),51235542544(+),XSNEXXYNXYP(+)
A15.304,结核性肺炎经证实(+),JHXFYJZS(+),51234544(+),XSNEOXYP(+)
A15.305,结核性气胸经证实(+),JHXQXJZS(+),51233544(+),XSNREXYP(+)
A15.306,结核性支气管扩张经证实(+),JHXZQGKZJZS(+),51213315544(+),XSNFRTRXXYP(+)
A15.307,空洞型肺结核经证实(+),KDXFJHJZS(+),441351544(+),PIGEXSXYP(+)
A15.308,浸润型肺结核经证实(+),JRXFJHJZS(+),441351544(+),IIGEXSXYP(+)
A15.309,增殖型肺结核经证实(+),ZZXFJHJZS(+),111351544(+),FGGEXSXYP(+)
A15.400,胸腔内淋巴结结核，经细菌学和组织学所证实,XQNLBJJHJXJXHZZXSZS,3324555155143554344,EEMICXXSXXAITXXIRYP
A15.401,肺门淋巴结结核，病理(+),FMLBJJHBL(+),344555141(+),EUICXXSUG(+)
A15.402,气管支气管淋巴结结核，细菌学(+),QGZQGLBJJHXJX(+),3313345551514(+),RTFRTICXXSXAI(+)
A15.403,气管支气管淋巴结结核，病理(+),QGZQGLBJJHBL(+),331334555141(+),RTFRTICXXSUG(+)
A15.404,胸内淋巴结结核，细菌学(+),XNLBJJHXJX(+),3245551514(+),EMICXXSXAI(+)
A15.405,胸内淋巴结结核，病理(+),XNLBJJHBL(+),324555141(+),EMICXXSUG(+)
A15.406,纵隔淋巴结结核，细菌学(+),ZGLBJJHXJX(+),5545551514(+),XBICXXSXAI(+)
A15.407,纵隔淋巴结结核，病理(+),ZGLBJJHBL(+),554555141(+),XBICXXSUG(+)
A15.408,支气管淋巴结结核，细菌学(+),ZQGLBJJHXJX(+),13345551514(+),FRTICXXSXAI(+)
A15.409,支气管淋巴结结核，病理(+),ZQGLBJJHBL(+),1334555141(+),FRTICXXSUG(+)
A15.500,喉、气管和支气管结核，经细菌学和组织学所证实,HQGHZQGJHJXJXHZZXSZS,23331335155143554344,KRTTFRTXSXXAITXXIRYP
A15.501,喉结核，病理(+),HJHBL(+),25141(+),KXSUG(+)
A15.502,会厌结核，细菌学(+),HYJHXJX(+),3151514(+),WDXSXAI(+)
A15.503,会厌结核，病理(+),HYJHBL(+),315141(+),WDXSUG(+)
A15.504,声带结核，细菌学(+),SDJHXJX(+),1151514(+),FGXSXAI(+)
A15.505,声带结核，病理(+),SDJHBL(+),115141(+),FGXSUG(+)
A15.506,气管结核，细菌学(+),QGJHXJX(+),3351514(+),RTXSXAI(+)
A15.507,气管结核，病理(+),QGJHBL(+),335141(+),RTXSUG(+)
A15.508,支气管结核，细菌学(+),ZQGJHXJX(+),13351514(+),FRTXSXAI(+)
A15.509,支气管结核，病理(+),ZQGJHBL(+),1335141(+),FRTXSUG(+)
A15.600,结核性胸膜炎，经细菌学和组织学所证实,JHXXMYJXJXHZZXSZS,51233455143554344,XSNEEOXXAITXXIRYP
A15.601,结核性胸膜炎，病理(+),JHXXMYBL(+),51233441(+),XSNEEOUG(+)
A15.602,结核性脓胸，细菌学(+),JHXNXXJX(+),51233514(+),XSNEEXAI(+)
A15.603,结核性脓胸，病理(+),JHXNXBL(+),5123341(+),XSNEEUG(+)
A15.604,结核性胸腔积液，细菌学(+),JHXXQJYXJX(+),5123334514(+),XSNEETIXAI(+)
A15.605,结核性胸腔积液，病理(+),JHXXQJYBL(+),512333441(+),XSNEETIUG(+)
A15.606,结核性渗出性胸膜炎，细菌学(+),JHXSCXXMYXJX(+),512452334514(+),XSNIBNEEOXAI(+)
A15.607,结核性渗出性胸膜炎，病理(+),JHXSCXXMYBL(+),51245233441(+),XSNIBNEEOUG(+)
A15.608,胸膜结核瘤，细菌学(+),XMJHLXJX(+),33514514(+),EEXSUXAI(+)
A15.609,胸膜结核瘤，病理(+),XMJHLBL(+),3351441(+),EEXSUUG(+)
A15.700,原发性呼吸道结核，经细菌学和组织学所证实,YFXHXDJHJXJXHZZXSZS,1522245155143554344,DVNKKUXSXXAITXXIRYP
A15.701,原发性呼吸道结核，病理(+),YFXHXDJHBL(+),1522245141(+),DVNKKUXSUG(+)
A15.702,肺原发性结核性复征，细菌学(+),FYFXJHXFZXJX(+),315251233514(+),EDVNXSNTTXAI(+)
A15.703,肺原发性结核性复征，病理(+),FYFXJHXFZBL(+),31525123341(+),EDVNXSNTTUG(+)
A15.800,呼吸道结核，经细菌学和组织学所证实，其他的,HXDJHJXJXHZZXSZSQTD,2245155143554344133,KKUXSXXAITXXIRYPAWR
A15.801,结核性鼻窦炎，细菌学(+),JHXBDYXJX(+),512344514(+),XSNTPOXAI(+)
A15.802,结核性鼻窦炎，病理(+),JHXBDYBL(+),51234441(+),XSNTPOUG(+)
A15.803,鼻中隔结核，细菌学(+),BZGJHXJX(+),32551514(+),TKBXSXAI(+)
A15.804,鼻中隔结核，病理(+),BZGJHBL(+),3255141(+),TKBXSUG(+)
A15.805,鼻咽结核，细菌学(+),BYJHXJX(+),3251514(+),TKXSXAI(+)
A15.806,鼻咽结核，病理(+),BYJHBL(+),325141(+),TKXSUG(+)
A15.807,鼻结核，细菌学(+),BJHXJX(+),351514(+),TXSXAI(+)
A15.808,鼻结核，病理(+),BJHBL(+),35141(+),TXSUG(+)
A15.809,扁桃体结核，细菌学(+),BTTJHXJX(+),41351514(+),YSWXSXAI(+)
A15.810,扁桃体结核，病理(+),BTTJHBL(+),4135141(+),YSWXSUG(+)
A15.811,咽部结核，细菌学(+),YBJHXJX(+),2451514(+),KUXSXAI(+)
A15.812,咽部结核，病理(+),YBJHBL(+),245141(+),KUXSUG(+)
A15.813,纵隔结核，细菌学(+),ZGJHXJX(+),5551514(+),XBXSXAI(+)
A15.814,纵隔结核，病理(+),ZGJHBL(+),555141(+),XBXSUG(+)
A15.900,呼吸道结核，经细菌学和组织学所证实的,HXDJHJXJXHZZXSZSD,22451551435543443,KKUXSXXAITXXIRYPR
A15.901,呼吸道结核，病理(+),HXDJHBL(+),2245141(+),KKUXSUG(+)
A16.000,肺结核，细菌学和组织学检查为阴性,FJHXJXHZZXJCWYX,351514355411452,EXSXAITXXISSYBN
A16.001,肺结核瘤，痰镜检(-),FJHLTJJ(-),3514431(-),EXSUUQS(-)
A16.002,结核性肺炎，痰镜检(-),JHXFYTJJ(-),51234431(-),XSNEOUQS(-)
A16.003,结核性肺纤维变性，痰镜检(-),JHXFXWBXTJJ(-),51235542431(-),XSNEXXYNUQS(-)
A16.004,结核性气胸，痰镜检(-),JHXQXTJJ(-),51233431(-),XSNREUQS(-)
A16.005,结核性支气管扩张，痰镜检(-),JHXZQGKZTJJ(-),51213315431(-),XSNFRTRXUQS(-)
A16.006,肺干酪性结核，痰镜检(-),FGLXJHTJJ(-),311251431(-),EFSNXSUQS(-)
A16.007,空洞型肺结核，痰镜检(-),KDXFJHTJJ(-),441351431(-),PIGEXSUQS(-)
A16.008,浸润型肺结核，痰镜检(-),JRXFJHTJJ(-),441351431(-),IIGEXSUQS(-)
A16.009,增殖型肺结核，痰镜检(-),ZZXFJHTJJ(-),111351431(-),FGGEXSUQS(-)
A16.010,肺结核，痰培养(-),FJHTPY(-),351414(-),EXSUFU(-)
A16.011,肺结核瘤，痰培养(-),FJHLTPY(-),3514414(-),EXSUUFU(-)
A16.012,结核性肺炎，痰培养(-),JHXFYTPY(-),51234414(-),XSNEOUFU(-)
A16.013,结核性肺纤维变性，痰培养(-),JHXFXWBXTPY(-),51235542414(-),XSNEXXYNUFU(-)
A16.014,结核性气胸，痰培养(-),JHXQXTPY(-),51233414(-),XSNREUFU(-)
A16.015,结核性支气管扩张，痰培养(-),JHXZQGKZTPY(-),51213315414(-),XSNFRTRXUFU(-)
A16.016,肺干酪性结核，痰培养(-),FGLXJHTPY(-),311251414(-),EFSNXSUFU(-)
A16.017,空洞型肺结核，痰培养(-),KDXFJHTPY(-),441351414(-),PIGEXSUFU(-)
A16.018,浸润型肺结核，痰培养(-),JRXFJHTPY(-),441351414(-),IIGEXSUFU(-)
A16.019,增殖型肺结核，痰培养(-),ZZXFJHTPY(-),111351414(-),FGGEXSUFU(-)
A16.020,肺结核，病理(-),FJHBL(-),35141(-),EXSUG(-)
A16.021,肺结核瘤，病理(-),FJHLBL(-),351441(-),EXSUUG(-)
A16.022,结核性肺炎，病理(-),JHXFYBL(-),5123441(-),XSNEOUG(-)
A16.023,结核性肺纤维变性，病理(-),JHXFXWBXBL(-),5123554241(-),XSNEXXYNUG(-)
A16.024,结核性气胸，病理(-),JHXQXBL(-),5123341(-),XSNREUG(-)
A16.025,结核性支气管扩张，病理(-),JHXZQGKZBL(-),5121331541(-),XSNFRTRXUG(-)
A16.026,肺干酪性结核，病理(-),FGLXJHBL(-),31125141(-),EFSNXSUG(-)
A16.027,空洞型肺结核，病理(-),KDXFJHBL(-),44135141(-),PIGEXSUG(-)
A16.028,浸润型肺结核，病理(-),JRXFJHBL(-),44135141(-),IIGEXSUG(-)
A16.029,增殖型肺结核，病理(-),ZZXFJHBL(-),11135141(-),FGGEXSUG(-)
A16.030,肺结核瘤，细胞学(组织学)(-),FJHLXBX(ZZX)(-),3514534(554)(-),EXSUXEI(XXI)(-)
A16.031,结核性肺炎，细胞学(组织学)(-),JHXFYXBX(ZZX)(-),51234534(554)(-),XSNEOXEI(XXI)(-)
A16.032,结核性肺纤维变性，细胞学(组织学)(-),JHXFXWBXXBX(ZZX)(-),51235542534(554)(-),XSNEXXYNXEI(XXI)(-)
A16.033,结核性气胸，细胞学(组织学)(-),JHXQXXBX(ZZX)(-),51233534(554)(-),XSNREXEI(XXI)(-)
A16.034,结核性支气管扩张，细胞学(组织学)(-),JHXZQGKZXBX(ZZX)(-),51213315534(554)(-),XSNFRTRXXEI(XXI)(-)
A16.035,肺干酪性结核，细胞学(组织学)(-),FGLXJHXBX(ZZX)(-),311251534(554)(-),EFSNXSXEI(XXI)(-)
A16.036,空洞型肺结核，细胞学(组织学)(-),KDXFJHXBX(ZZX)(-),441351534(554)(-),PIGEXSXEI(XXI)(-)
A16.037,浸润型肺结核，细胞学(组织学)(-),JRXFJHXBX(ZZX)(-),441351534(554)(-),IIGEXSXEI(XXI)(-)
A16.038,增殖型肺结核，细胞学(组织学)(-),ZZXFJHXBX(ZZX)(-),111351534(554)(-),FGGEXSXEI(XXI)(-)
A16.100,肺结核，未做细菌学和组织学检查,FJHWZXJXHZZXJC,35113514355411,EXSFWXAITXXISS
A16.101,肺结核瘤，未做细菌学和组织学检查,FJHLWZXJXHZZXJC,351413514355411,EXSUFWXAITXXISS
A16.102,结核性肺炎，未做细菌学和组织学检查,JHXFYWZXJXHZZXJC,5123413514355411,XSNEOFWXAITXXISS
A16.103,结核性肺纤维变性，未做细菌学和组织学检查,JHXFXWBXWZXJXHZZXJC,5123554213514355411,XSNEXXYNFWXAITXXISS
A16.104,结核性气胸，未做细菌学和组织学检查,JHXQXWZXJXHZZXJC,5123313514355411,XSNREFWXAITXXISS
A16.105,结核性支气管扩张，未做细菌学和组织学检查,JHXZQGKZWZXJXHZZXJC,5121331513514355411,XSNFRTRXFWXAITXXISS
A16.106,肺干酪性结核，未做细菌学和组织学检查,FGLXJHWZXJXHZZXJC,31125113514355411,EFSNXSFWXAITXXISS
A16.107,空洞型肺结核，未做细菌学和组织学检查,KDXFJHWZXJXHZZXJC,44135113514355411,PIGEXSFWXAITXXISS
A16.108,浸润型肺结核，未做细菌学和组织学检查,JRXFJHWZXJXHZZXJC,44135113514355411,IIGEXSFWXAITXXISS
A16.109,增殖型肺结核，未做细菌学和组织学检查,ZZXFJHWZXJXHZZXJC,11135113514355411,FGGEXSFWXAITXXISS
A16.200,肺结核，未提及细菌学或组织学的证实,FJHWTJXJXHZZXDZS,3511135141554344,EXSFREXAIAXXIRYP
A16.201,肺结核瘤,FJHL,3514,EXSU
A16.202,结核性肺炎,JHXFY,51234,XSNEO
A16.203,结核性肺纤维变性,JHXFXWBX,51235542,XSNEXXYN
A16.204,结核性气胸,JHXQX,51233,XSNRE
A16.205,结核性支气管扩张,JHXZQGKZ,51213315,XSNFRTRX
A16.206,肺干酪性结核,FGLXJH,311251,EFSNXS
A16.207,空洞型肺结核,KDXFJH,441351,PIGEXS
A16.208,浸润型肺结核,JRXFJH,441351,IIGEXS
A16.209,增殖型肺结核,ZZXFJH,111351,FGGEXS
A16.210,结核性肺不张,JHXFBZ,512345,XSNEIX
A16.300,胸腔内淋巴结结核，未提及细菌学或组织学的证实,XQNLBJJHWTJXJXHZZXDZ,33245551113514155434,EEMICXXSFREXAIAXXIRY
A16.301,肺门淋巴结结核,FMLBJJH,3445551,EUICXXS
A16.302,胸内淋巴结结核,XNLBJJH,3245551,EMICXXS
A16.303,气管支气管淋巴结结核,QGZQGLBJJH,3313345551,RTFRTICXXS
A16.304,支气管淋巴结结核,ZQGLBJJH,13345551,FRTICXXS
A16.305,纵隔淋巴结结核,ZGLBJJH,5545551,XBICXXS
A16.400,喉、气管和支气管结核，未提及细菌学或组织学的证实,HQGHZQGJHWTJXJXHZZXD,23331335111351415543,KRTTFRTXSFREXAIAXXIR
A16.401,会厌结核,HYJH,3151,WDXS
A16.402,气管结核,QGJH,3351,RTXS
A16.403,声带结核,SDJH,1151,FGXS
A16.404,支气管结核,ZQGJH,13351,FRTXS
A16.405,结核性支气管胸膜瘘,JHXZQGXML,512133334,XSNFRTEEU
A16.406,喉结核,HJH,251,KXS
A16.500,结核性胸膜炎，未提及细菌学或组织学的证实,JHXXMYWTJXJXHZZXDZS,5123341135141554344,XSNEEOFREXAIAXXIRYP
A16.501,结核性脓胸,JHXNX,51233,XSNEE
A16.502,结核性胸腔积液,JHXXQJY,5123334,XSNEETI
A16.503,结核性渗出性胸膜炎,JHXSCXXMY,512452334,XSNIBNEEO
A16.504,胸膜结核瘤,XMJHL,33514,EEXSU
A16.505,结核性脓气胸,JHXNQX,512333,XSNERE
A16.700,原发性呼吸道结核，未提及细菌学或组织学的证实,YFXHXDJHWTJXJXHZZXDZ,15222451113514155434,DVNKKUXSFREXAIAXXIRY
A16.701,肺原发性结核性复征,FYFXJHXFZ,315251233,EDVNXSNTT
A16.800,呼吸道结核，未提及细菌学或组织学的证实，其他的,HXDJHWTJXJXHZZXDZSQT,22451113514155434413,KKUXSFREXAIAXXIRYPAW
A16.801,结核性鼻窦炎,JHXBDY,512344,XSNTPO
A16.802,鼻中隔结核,BZGJH,32551,TKBXS
A16.803,鼻咽结核,BYJH,3251,TKXS
A16.804,鼻结核,BJH,351,TXS
A16.805,扁桃体结核,BTTJH,41351,YSWXS
A16.806,咽部结核,YBJH,2451,KUXS
A16.807,纵隔结核,ZGJH,5551,XBXS
A16.900,呼吸道结核,HXDJH,22451,KKUXS
A17.000+G01*,结核性脑膜炎,JHXNMY,512334,XSNEEO
A17.001+G01*,结核性脑脊髓膜炎,JHXNJSMY,51234234,XSNEIMEO
A17.100+G07*,脑膜结核瘤,NMJHL,33514,EEXSU
A17.800,神经系统的其他结核,SJXTDQTJH,453531351,PXTXRAWXS
A17.801+G07*,脑结核瘤,NJHL,3514,EXSU
A17.802+G07*,结核性脑肉芽肿,JHXNRYZ,5123213,XSNEMAE
A17.803+G05.0*,结核性脑膜脑炎,JHXNMNY,5123334,XSNEEEO
A17.804+G05.0*,结核性脑炎,JHXNY,51234,XSNEO
A17.805+G07*,结核性脑脓肿,JHXNNZ,512333,XSNEEE
A17.806+G07*,脊髓结核,JSJH,4251,IMXS
A17.807+G94.0*,结核性脑积水,JHXNJS,512334,XSNETI
A17.900+G99.8*,神经系统结核,SJXTJH,453551,PXTXXS
A18.000,骨和关节的结核,GHGJDJH,2341351,MTUARXS
A18.001+M90.0*,骨结核,GJH,251,MXS
A18.002+M01.1*,关节结核,GJJH,4151,UAXS
A18.003+M90.0*,鼻骨结核,BGJH,3251,TMXS
A18.004+M90.0*,下颌结核,XHJH,1351,GWXS
